Cast Vote Record,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2
562,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
563,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
564,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
566,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
568,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L."
569,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
570,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
572,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
573,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
574,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
579,"DEM Golden, Jared F. (5471)","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
580,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
581,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
583,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
584,"REP Poliquin, Bruce (5931)",undervote,"Hoar, William R.S.","Bond, Tiffany L."
585,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
586,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
591,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
592,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
593,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
594,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
596,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
598,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
600,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
601,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce",undervote,undervote
603,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
606,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
607,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
608,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
609,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
610,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
611,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
612,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
613,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
616,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
618,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
